                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.4606,                 1.2487,                 1.6624,                0.69772,                0.60303,                0.66848,                0.36902,                 1.5713,                 1.3598,                 1.7947,               0.003664,               0.003664,               0.003664
                     66,                 1.3838,                    1.2,                 1.6028,                0.67467,                 0.5303,                0.60026,                0.31624,                 1.6758,                 1.5676,                 1.8978,               0.003565,               0.003565,               0.003565
                     67,                 1.4002,                    1.2,                 1.6052,                0.75366,                0.56364,                0.66542,                0.36166,                 1.5996,                 1.3664,                 1.7925,               0.003466,               0.003466,               0.003466
                     68,                 1.4005,                 1.1765,                 1.6372,                0.77424,                0.56118,                0.67367,                0.36563,                 1.6057,                  1.353,                  1.809,               0.003367,               0.003367,               0.003367
                     69,                 1.4056,                 1.2385,                 1.6068,                0.73565,                0.58186,                0.67362,                0.36502,                 1.5973,                 1.3567,                 1.8455,               0.003268,               0.003268,               0.003268
                     70,                  1.386,                 1.1546,                   1.61,                0.73695,                0.63672,                0.68631,                0.37981,                 1.5573,                 1.3062,                 1.7896,               0.003169,               0.003169,               0.003169
                     71,                 1.4172,                 1.1944,                 1.6023,                0.68857,                0.58291,                0.65653,                0.34473,                 1.6108,                 1.3811,                 1.8442,                0.00307,                0.00307,                0.00307
                     72,                  1.401,                 1.1929,                  1.607,                0.73246,                0.62424,                0.69291,                0.37961,                 1.6018,                 1.3403,                 1.8061,               0.002971,               0.002971,               0.002971
                     73,                 1.3776,                   1.13,                 1.5877,                 0.7683,                0.58281,                0.67932,                 0.3744,                 1.5775,                 1.3453,                 1.7914,               0.002872,               0.002872,               0.002872
                     74,                 1.3662,                 1.1882,                 1.6125,                0.74187,                0.57481,                0.67554,                0.38188,                 1.5444,                 1.3254,                 1.7591,               0.002773,               0.002773,               0.002773
                     75,                 1.3613,                 1.1799,                 1.5947,                0.78428,                0.56061,                0.69331,                0.38401,                 1.5482,                 1.2943,                 1.7525,               0.002674,               0.002674,               0.002674
                     76,                 1.3961,                 1.1767,                 1.6184,                0.68658,                0.63726,                0.69432,                0.38888,                 1.5501,                 1.2879,                 1.7597,               0.002575,               0.002575,               0.002575
                     77,                 1.3444,                 1.1377,                 1.5742,                0.79367,                0.55952,                0.68269,                0.38482,                 1.5847,                 1.3208,                 1.7915,               0.002476,               0.002476,               0.002476
                     78,                 1.3568,                 1.1167,                 1.5697,                0.76413,                0.58788,                0.68608,                0.38018,                 1.5945,                 1.3229,                  1.803,               0.002377,               0.002377,               0.002377
                     79,                 1.3427,                 1.1299,                 1.5754,                0.75214,                    0.6,                0.68899,                 0.3902,                 1.5522,                 1.2994,                 1.7835,               0.002278,               0.002278,               0.002278
                     80,                 1.3546,                 1.1132,                 1.5492,                0.74526,                0.55455,                 0.6685,                0.36419,                 1.6221,                 1.3621,                 1.8259,               0.002179,               0.002179,               0.002179
                     81,                 1.3319,                 1.1416,                 1.5761,                0.70584,                0.58897,                 0.6826,                 0.3801,                 1.5504,                 1.3104,                 1.7804,                0.00208,                0.00208,                0.00208
                     82,                   1.32,                 1.2268,                 1.5623,                0.73488,                 0.6303,                0.69192,                0.38209,                 1.5497,                 1.3114,                 1.7887,               0.001981,               0.001981,               0.001981
                     83,                  1.317,                 1.0738,                 1.5415,                0.72585,                0.62727,                0.69615,                0.39121,                 1.5696,                 1.2782,                 1.7935,               0.001882,               0.001882,               0.001882
