dt,weather
1658653200,Clear
1658656800,Clear
1658660400,Clouds
1658664000,Clouds
1658667600,Clouds
1658671200,Clouds
1658674800,Clouds
1658678400,Clouds
1658682000,Clear
1658685600,Clear
1658689200,Clear
1658692800,Clear
1658696400,Clear
1658700000,Clear
1658703600,Clear
1658707200,Clear
1658707200,Clear
1658710800,Clear
1658714400,Clear
1658718000,Clear
1658721600,Clear
1658725200,Clear
1658728800,Clear
1658732400,Clear
1658736000,Clear
1658739600,Clear
1658743200,Clear
1658746800,Clear
1658750400,Clear
1658754000,Clear
1658757600,Clear
1658761200,Clear
1658764800,Clouds
1658768400,Clouds
1658772000,Clear
1658775600,Clear
1658779200,Clear
1658782800,Clear
1658786400,Clear
1658790000,Clear
1658793600,Clear
1658793600,Clear
1658797200,Clear
1658800800,Clear
1658804400,Clear
1658808000,Clear
1658811600,Clear
1658815200,Clear
1658818800,Clear
1658822400,Clear
1658826000,Clear
1658829600,Clear
1658833200,Clear
1658836800,Clear
1658840400,Clear
1658844000,Clear
1658847600,Clear
1658851200,Clear
1658854800,Clear
1658858400,Clear
1658862000,Clear
1658865600,Clear
1658869200,Clear
1658872800,Clear
1658876400,Clear
1658880000,Clear
1658880000,Clear
1658883600,Clear
1658887200,Clear
1658890800,Clear
1658894400,Clear
1658898000,Clear
1658901600,Clear
1658905200,Clear
1658908800,Clouds
1658912400,Clouds
1658916000,Clear
1658919600,Clear
1658923200,Clear
1658926800,Clear
1658930400,Clear
1658934000,Clear
1658937600,Clear
1658941200,Clear
1658944800,Clear
1658948400,Clear
1658952000,Clear
1658955600,Clear
1658959200,Clear
1658962800,Clear
1658966400,Clear
1658966400,Clear
1658970000,Clear
1658973600,Clear
1658977200,Clear
1658980800,Clear
1658984400,Clear
1658988000,Clear
1658991600,Clouds
1658995200,Clouds
1658998800,Clouds
1659002400,Clouds
1659006000,Clear
1659009600,Clear
1659013200,Clear
1659016800,Clear
1659020400,Clear
1659024000,Clear
1659027600,Clear
1659031200,Clear
1659034800,Clear
1659038400,Clear
1659042000,Clear
1659045600,Clear
1659049200,Clear
1659052800,Clear
1659052800,Clear
1659056400,Clear
1659060000,Clear
1659063600,Clear
1659067200,Clear
1659070800,Clear
1659074400,Clear
1659078000,Clear
