timestamp,vehicle
1675191600000,1215
1675195200000,816
1675198800000,472
1675202400000,350
1675206000000,252
1675209600000,144
1675213200000,66
1675216800000,24
1675220400000,23
1675224000000,29
1675227600000,47
1675231200000,100
1675234800000,612
1675238400000,1374
1675242000000,1276
1675245600000,863
1675249200000,831
1675252800000,1039
1675256400000,1059
1675260000000,1174
1675263600000,1076
1675267200000,1204
1675270800000,1415
1675274400000,1505
1675278000000,1247
1675281600000,842
1675285200000,540
1675288800000,358
1675292400000,263
1675296000000,163
1675299600000,65
1675303200000,42
1675306800000,20
1675310400000,27
1675314000000,61
1675317600000,116
1675321200000,633
1675324800000,1310
1675328400000,1026
1675332000000,862
1675335600000,797
1675339200000,939
1675342800000,1017
1675346400000,1068
1675350000000,1039
1675353600000,1157
1675357200000,1399
1675360800000,1498
1675364400000,1273
1675368000000,816
1675371600000,511
1675375200000,371
1675378800000,228
1675382400000,171
1675386000000,73
1675389600000,34
1675393200000,24
1675396800000,27
1675400400000,53
1675404000000,113
1675407600000,655
1675411200000,1263
1675414800000,1019
1675418400000,810
1675422000000,785
1675425600000,1020
1675429200000,1111
1675432800000,1168
1675436400000,1116
1675440000000,1210
1675443600000,1423
1675447200000,1474
1675450800000,1325
1675454400000,984
1675458000000,674
1675461600000,500
1675465200000,439
1675468800000,315
1675472400000,169
1675476000000,106
1675479600000,68
1675483200000,66
1675486800000,84
1675490400000,97
1675494000000,278
1675497600000,460
1675501200000,663
1675504800000,790
1675508400000,935
1675512000000,986
1675515600000,954
1675519200000,882
1675522800000,1044
1675526400000,1001
1675530000000,1095
1675533600000,975
1675537200000,866
1675540800000,783
1675544400000,532
1675548000000,450
1675551600000,497
1675555200000,318
1675558800000,192
1675562400000,114
1675566000000,94
1675569600000,63
1675573200000,61
1675576800000,63
1675580400000,154
1675584000000,204
1675587600000,386
1675591200000,577
1675594800000,745
1675598400000,945
1675602000000,747
1675605600000,926
1675609200000,1228
1675612800000,1126
1675616400000,1215
1675620000000,1018
1675623600000,920
1675627200000,626
1675630800000,459
1675634400000,346
1675638000000,183
1675641600000,115
1675645200000,40
1675648800000,21
1675652400000,20
1675656000000,25
1675659600000,54
1675663200000,122
1675666800000,666
1675670400000,1380
1675674000000,1175
1675677600000,908
1675681200000,863
1675684800000,972
1675688400000,1178
1675692000000,1070
1675695600000,1108
1675699200000,335
1675908000000,36
1675911600000,26
1675915200000,28
1675918800000,50
1675922400000,111
1675926000000,625
1675929600000,1382
1675933200000,1225
1675936800000,915
1675940400000,808
1675944000000,955
1675947600000,1125
1675951200000,1092
1675954800000,360
1675994400000,40
1675998000000,31
1676001600000,33
1676005200000,54
1676008800000,112
1676012400000,677
1676016000000,1395
1676019600000,1130
1676023200000,870
1676026800000,855
1676030400000,1006
1676034000000,1151
1676037600000,1117
1676041200000,1092
1676044800000,1215
1676048400000,1437
1676052000000,1438
1676055600000,1392
1676059200000,1009
1676062800000,710
1676066400000,549
1676070000000,467
